108782188: parking: 221161881#2 : [255, 0, 0], 0
147239631: building.apartments: 253546370#2 : ['0', '100', '100'], 47.62
147250942: building.apartments: 147249981#1 : ['0', '100', '100'], 33.09
147250944: building.apartments: 147249981#1 : ['0', '100', '100'], 13.7
147250946: building.apartments: 147249981#1 : ['0', '100', '100'], 18.09
147301258: building.apartments: 152395940#2 : ['0', '100', '100'], 12.29
147301280: building.apartments: 152395940#2 : ['0', '100', '100'], 31.08
147301281: building.apartments: 152385159#0 : ['0', '100', '100'], 11.59
147390892: building.residential: 4742868#8 : ['30', '60', '150'], 33.66
147390903: building.apartments: -4742868#11 : ['0', '100', '100'], 156.44
147392691: building.apartments: -24598648#0 : ['0', '100', '100'], 16.82
147393259: building.apartments: 24598648#0 : ['0', '100', '100'], 52.35
147393260: building.apartments: 181336164#1 : ['0', '100', '100'], 108.32
147393261: building.apartments: 181336164#1 : ['0', '100', '100'], 117.39
147393262: building.apartments: 24600599#2 : ['0', '100', '100'], 77.49
147393263: building.apartments: -24532138#0 : ['0', '100', '100'], 28.23
147393264: building.apartments: 24600599#2 : ['0', '100', '100'], 96.41
147393265: building.apartments: 24600599#2 : ['0', '100', '100'], 58.4
147393266: building.apartments: 24600599#2 : ['0', '100', '100'], 9.64
147393267: building.apartments: 24598648#0 : ['0', '100', '100'], 26.69
147393268: building.apartments: 181336164#1 : ['0', '100', '100'], 91.39
147393269: building.apartments: 24600599#2 : ['0', '100', '100'], 41.68
147393270: building.apartments: -24532138#0 : ['0', '100', '100'], 40.51
147393271: building.apartments: -24532138#0 : ['0', '100', '100'], 34.85
147393274: building.apartments: 24600599#2 : ['0', '100', '100'], 104.91
147393276: building.apartments: 181336164#1 : ['0', '100', '100'], 77.1
147393277: building.apartments: 181336164#1 : ['0', '100', '100'], 60.85
147393278: building.apartments: -24532138#0 : ['0', '100', '100'], 14.13
147393279: building.apartments: 181336164#1 : ['0', '100', '100'], 47.74
147394859: building.apartments: 188312703#0 : ['0', '100', '100'], 20.02
147483898: building.apartments: 24599111#0 : ['0', '100', '100'], 139.29
147483901: building.apartments: -24598376#2 : ['0', '100', '100'], 22.03
147483907: building.apartments: -24598376#2 : ['0', '100', '100'], 45.37
147509248: building.apartments: 24599111#1 : ['0', '100', '100'], 81.28
147521492: building.apartments: -23090540#4 : ['0', '100', '100'], 17.04
147586924: building.apartments: 267411697#0 : ['0', '100', '100'], 50.78
147693466: building.apartments: 308359122 : ['0', '100', '100'], 53.58
147693472: building.apartments: 152385165#2 : ['0', '100', '100'], 12.01
147693476: building.apartments: 308359122 : ['0', '100', '100'], 30.65
147693481: building.apartments: 152385165#1 : ['0', '100', '100'], 8.73
147693491: building.apartments: 308359122 : ['0', '100', '100'], 19.21
147950068: building.apartments: 209319564#4 : ['0', '100', '100'], 50.2
147950071: building.apartments: 209319563#1 : ['0', '100', '100'], 13.11
147950073: building.apartments: 209319564#4 : ['0', '100', '100'], 31.88
147950079: building.apartments: 209319563#1 : ['0', '100', '100'], 26.11
147950081: building.apartments: 209319563#1 : ['0', '100', '100'], 16.42
148184732: building.apartments: -25990739#1 : ['0', '100', '100'], 39.16
148184733: building.apartments: -520753136#1 : ['0', '100', '100'], 42.05
148184734: building.apartments: -520753136#1 : ['0', '100', '100'], 69.54
148184736: building.apartments: -178199022#0 : ['0', '100', '100'], 31.31
148184737: building.apartments: -25990739#1 : ['0', '100', '100'], 63.38
148184738: building.apartments: -520753136#1 : ['0', '100', '100'], 87.51
148184740: building.apartments: -25990739#1 : ['0', '100', '100'], 87.4
148184741: building.apartments: -520753136#1 : ['0', '100', '100'], 29.94
148184742: building.apartments: -520753136#1 : ['0', '100', '100'], 54.08
148184744: building.apartments: -25878783#2 : ['0', '100', '100'], 48.99
148184747: building.apartments: -520753136#1 : ['0', '100', '100'], 108.25
148634016: building.apartments: 24916962#0 : ['0', '100', '100'], 19.97
148634017: building.apartments: 24916962#0 : ['0', '100', '100'], 97.51
148634018: building.apartments: 150851814#1 : ['0', '100', '100'], 32.52
148634019: building.apartments: 24916962#0 : ['0', '100', '100'], 115.8
148634020: building.apartments: 150851814#1 : ['0', '100', '100'], 53.25
148634022: building.apartments: 150851814#2 : ['0', '100', '100'], 6.65
148634023: building.apartments: 24916962#0 : ['0', '100', '100'], 58.84
148634024: building.apartments: 24916962#0 : ['0', '100', '100'], 67.74
148634027: building.apartments: 24916962#0 : ['0', '100', '100'], 47.02
148634029: building.apartments: 150851814#1 : ['0', '100', '100'], 47.58
148634030: building.apartments: 24916962#0 : ['0', '100', '100'], 76.49
148634031: building.apartments: 24916962#0 : ['0', '100', '100'], 86.86
148634032: building.apartments: 33083418#0 : ['0', '100', '100'], 37.75
148634033: building.apartments: 24916962#0 : ['0', '100', '100'], 127.08
148634034: building.apartments: 24916962#0 : ['0', '100', '100'], 106.61
148634035: building.apartments: 24916962#0 : ['0', '100', '100'], 33.84
148634036: building.apartments: 33083418#0 : ['0', '100', '100'], 23.46
148634038: building.apartments: 33083418#0 : ['0', '100', '100'], 47.2
148658349: building.apartments: 33083418#0 : ['0', '100', '100'], 8.81
148658350: building.apartments: 150851814#3 : ['0', '100', '100'], 22.72
148660227: amenity.kindergarten: -24534083#3 : ['100', '60', '255'], 20.48
148661123: building.apartments: 40521205#1 : ['0', '100', '100'], 38.74
148661127: building.apartments: -150834642#0 : ['0', '100', '100'], 62.78
148661132: building.apartments: 40521205#1 : ['0', '100', '100'], 32.26
148661135: building.apartments: 40521205#1 : ['0', '100', '100'], 15.38
148661138: building.apartments: 366073489#2 : ['0', '100', '100'], 34.48
148662944: building.apartments: -150834642#0 : ['0', '100', '100'], 48.91
148665878: amenity.school: 431557291 : ['255', '150', '0'], 12.74
149016681: building.apartments: 53175159#14 : ['0', '100', '100'], 53.08
149016686: building.apartments: 150856067 : ['0', '100', '100'], 23.24
149352822: building.office: 53175059#1 : ['255', '0', '255'], 36.79
149464670: building.apartments: 4432618#2 : ['0', '100', '100'], 21.19
149466006: building.residential: -334457598#4 : ['30', '60', '150'], 46.32
149466014: building.residential: -532149775#2 : ['30', '60', '150'], 49.3
149466020: building.residential: -334457598#4 : ['30', '60', '150'], 27.27
149466031: building.residential: 24608228 : ['30', '60', '150'], 42.44
149466033: building.residential: -532149775#2 : ['30', '60', '150'], 30.88
149466035: building.residential: 24608228 : ['30', '60', '150'], 24.21
149466038: building.residential: 24608228 : ['30', '60', '150'], 61.72
149466050: building.residential: -532149775#1 : ['30', '60', '150'], 15.82
149466062: building.residential: -24608228 : ['30', '60', '150'], 55.0
149466065: building.residential: -532149775#2 : ['30', '60', '150'], 12.54
149466073: building.residential: -334457598#4 : ['30', '60', '150'], 15.43
149466086: building.residential: -334457598#4 : ['30', '60', '150'], 65.98
149466094: building.residential: -24608228 : ['30', '60', '150'], 8.8
149466109: building.residential: -334457597#0 : ['30', '60', '150'], 21.92
149470071: building.apartments: 156465707#0 : ['0', '100', '100'], 7.66
149713892: building.apartments: 502060953#0 : ['0', '100', '100'], 35.19
150384652: building.apartments: -371306931 : ['0', '100', '100'], 23.92
150384653: building.apartments: -371306931 : ['0', '100', '100'], 14.42
150697169: amenity.school: 282331231#1 : ['255', '150', '0'], 41.68
153574911: building.apartments: -163979338#1 : ['0', '100', '100'], 21.24
153948079: building.apartments: 150770615#1 : ['0', '100', '100'], 33.85
153948082: building.apartments: -282331232#0 : ['0', '100', '100'], 25.31
153948084: building.apartments: 24666916 : ['0', '100', '100'], 47.57
153948085: building.apartments: -366073486 : ['0', '100', '100'], 22.85
153948087: building.apartments: 150770615#1 : ['0', '100', '100'], 58.96
153948088: building.apartments: -282331232#0 : ['0', '100', '100'], 11.31
153948089: building.apartments: 150770615#1 : ['0', '100', '100'], 20.43
153948090: building.apartments: 24666916 : ['0', '100', '100'], 64.14
153948092: building.apartments: -282331232#1 : ['0', '100', '100'], 8.32
153948094: building.apartments: 150770615#1 : ['0', '100', '100'], 47.47
154325576: building.residential: -156466418#6 : ['30', '60', '150'], 140.42
154325585: building.residential: -156466418#6 : ['30', '60', '150'], 122.88
154325586: building.apartments: -156465714#0 : ['0', '100', '100'], 49.26
154325595: building.residential: -156466418#6 : ['30', '60', '150'], 104.38
154325607: building.apartments: 156465707#0 : ['0', '100', '100'], 26.22
154420750: building.residential: -446545499 : ['30', '60', '150'], 29.29
154529963: building.apartments: -150851814#3 : ['0', '100', '100'], 32.83
154529992: building.apartments: 26340368 : ['0', '100', '100'], 74.87
154529995: building.apartments: 26340368 : ['0', '100', '100'], 62.44
154530001: building.apartments: 26340368 : ['0', '100', '100'], 56.55
154530004: building.apartments: 26340368 : ['0', '100', '100'], 44.48
154530006: building.apartments: -150851814#1 : ['0', '100', '100'], 41.12
154530007: building.apartments: -150851814#1 : ['0', '100', '100'], 28.41
154531448: building.apartments: -150851814#1 : ['0', '100', '100'], 65.64
154531466: building.apartments: 245939113#3 : ['0', '100', '100'], 34.52
154531470: building.apartments: 366073470#1 : ['0', '100', '100'], 11.19
154531472: building.apartments: 366073470#1 : ['0', '100', '100'], 14.8
154531476: building.apartments: 26340368 : ['0', '100', '100'], 37.52
154531478: building.apartments: 26340368 : ['0', '100', '100'], 24.0
154531479: building.apartments: -150851814#3 : ['0', '100', '100'], 50.59
154531483: building.apartments: -150851814#1 : ['0', '100', '100'], 51.59
154982883: building.office: 204526313#1 : ['255', '0', '255'], 16.98
155078615: building.office: 4434089#5 : ['255', '0', '255'], 106.16
155105909#1: building.school: 97301283#1 : ['255', '100', '0'], 26.74
158187050: building.apartments: -27283179#1 : ['0', '100', '100'], 40.0
158187054: building.apartments: -376851150 : ['0', '100', '100'], 76.72
158187058: building.apartments: -376851150 : ['0', '100', '100'], 32.03
158187071: building.apartments: -376851150 : ['0', '100', '100'], 15.03
158350902: building.apartments: 29350090 : ['0', '100', '100'], 40.4
158350909: building.apartments: 29350090 : ['0', '100', '100'], 52.75
158350911: building.apartments: 29350090 : ['0', '100', '100'], 63.98
158350913: building.apartments: 27283179#0 : ['0', '100', '100'], 13.85
158350916: building.apartments: 29350090 : ['0', '100', '100'], 72.51
158350920: building.apartments: 29350090 : ['0', '100', '100'], 26.98
158350926: building.apartments: 29350090 : ['0', '100', '100'], 11.95
158352034: building.apartments: -27283179#0 : ['0', '100', '100'], 42.2
158352037: building.apartments: -27283179#0 : ['0', '100', '100'], 65.22
158352038: building.apartments: 320202776 : ['0', '100', '100'], 46.38
158352041: building.apartments: 320202776 : ['0', '100', '100'], 6.55
158548870: building.apartments: 187628749#0 : ['0', '100', '100'], 7.88
158824176: building.apartments: 150549252#2 : ['0', '100', '100'], 77.22
158824177: building.apartments: 35834153#0 : ['0', '100', '100'], 28.23
158824186: building.apartments: 187060049#1 : ['0', '100', '100'], 57.15
158824187: building.apartments: 187060049#1 : ['0', '100', '100'], 43.54
158824188: building.apartments: 187060049#1 : ['0', '100', '100'], 29.63
158824190: building.apartments: 187060049#1 : ['0', '100', '100'], 15.58
158824196: building.apartments: 371300204#0 : ['0', '100', '100'], 18.12
158824200: building.apartments: 561882212 : ['0', '100', '100'], 5.73
158828694: building.apartments: 371300202 : ['0', '100', '100'], 5.74
158923148: building.apartments: 475657675 : ['0', '100', '100'], 26.26
159002781: amenity.kindergarten: 150549252#2 : ['100', '60', '255'], 70.57
165344366: building.apartments: 360248206#2 : ['0', '100', '100'], 14.95
165764326: building.apartments: 360248197#0 : ['0', '100', '100'], 21.63
165766607: building.apartments: 360248197#0 : ['0', '100', '100'], 29.84
166039582: building.apartments: 255392314 : ['0', '100', '100'], 19.04
166039586: building.apartments: 255392314 : ['0', '100', '100'], 49.19
166051782: building.apartments: 150546872 : ['0', '100', '100'], 14.07
166274201: building.apartments: 674280493 : ['0', '100', '100'], 5.66
175484409: amenity.school: 8601802#1 : ['255', '150', '0'], 62.36
178052490: building.apartments: 358953079 : ['0', '100', '100'], 53.9
178052515: building.apartments: 358953079 : ['0', '100', '100'], 65.85
181346505: building.apartments: 227062822#2 : ['0', '100', '100'], 13.82
181346506: building.apartments: 227062822#2 : ['0', '100', '100'], 45.92
181346509: building.apartments: 227062822#1 : ['0', '100', '100'], 16.69
181346512: building.apartments: 227062822#0 : ['0', '100', '100'], 18.13
181347591: building.apartments: 359726683#0 : ['0', '100', '100'], 81.13
181347592: building.apartments: 97301282#0 : ['0', '100', '100'], 8.97
181503317: building.apartments: -216879574#1 : ['0', '100', '100'], 49.63
181661507: building.apartments: 258979254#1 : ['0', '100', '100'], 23.65
181878667: building.office: 43866169#0 : ['255', '0', '255'], 6.19
182535784: building.apartments: -171453050 : ['0', '100', '100'], 15.54
182747681: building.residential: -334457598#0 : ['30', '60', '150'], 66.36
182747682: building.residential: -334457598#0 : ['30', '60', '150'], 118.59
182747684: building.residential: -334457598#0 : ['30', '60', '150'], 83.36
182747685: building.residential: -334457598#0 : ['30', '60', '150'], 74.86
182747688: building.residential: -334457598#0 : ['30', '60', '150'], 91.85
182747693: building.residential: -334457598#0 : ['30', '60', '150'], 143.33
182747706: building.residential: -334457598#0 : ['30', '60', '150'], 101.06
182747708: building.residential: -334457598#0 : ['30', '60', '150'], 57.65
182748616: building.school: -334457598#0 : ['255', '100', '0'], 42.95
182753490: building.residential: -24608228 : ['30', '60', '150'], 41.99
182856203: building.apartments: 22331103#1 : ['0', '100', '100'], 19.35
182856208: building.apartments: 367292568#0 : ['0', '100', '100'], 11.91
194602581: building.apartments: 23263249#3 : ['0', '100', '100'], 11.61
194602587: building.apartments: 150556231#0 : ['0', '100', '100'], 5.44
194602588: building.apartments: 23263249#5 : ['0', '100', '100'], 28.48
194602590: building.apartments: 150556231#1 : ['0', '100', '100'], 8.52
194602591: building.apartments: 150556231#1 : ['0', '100', '100'], 14.63
194676176: building.apartments: 626581542 : ['0', '100', '100'], 65.92
194689980: building.apartments: 195137102#1 : ['0', '100', '100'], 141.78
194689991: building.apartments: 195137104#0 : ['0', '100', '100'], 20.27
194690005: building.apartments: 195137102#1 : ['0', '100', '100'], 118.97
195285813: building.apartments: -152406545#1 : ['0', '100', '100'], 46.7
195285822: building.apartments: -152406545#1 : ['0', '100', '100'], 32.59
195285838: building.apartments: 181332367#0 : ['0', '100', '100'], 9.01
195285841: building.apartments: 181332367#0 : ['0', '100', '100'], 17.8
195285843: building.apartments: -152406545#1 : ['0', '100', '100'], 76.88
195285846: building.apartments: -152406545#1 : ['0', '100', '100'], 64.66
195294331: building.apartments: -383597641#4 : ['0', '100', '100'], 26.99
195294336: building.apartments: -383597641#3 : ['0', '100', '100'], 27.3
195294338: building.apartments: -383597641#3 : ['0', '100', '100'], 60.81
195294339: building.apartments: -383597641#3 : ['0', '100', '100'], 44.39
195294342: building.apartments: -383597641#4 : ['0', '100', '100'], 35.42
195543846: building.apartments: 7980431#1 : ['0', '100', '100'], 158.17
195543856: building.apartments: 195168321 : ['0', '100', '100'], 47.49
195543859: building.apartments: 195168321 : ['0', '100', '100'], 7.33
195543860: building.apartments: 195168321 : ['0', '100', '100'], 18.61
195543861: building.apartments: 195168321 : ['0', '100', '100'], 29.24
195543862: building.apartments: 195168321 : ['0', '100', '100'], 39.61
195543863: building.apartments: 7980431#1 : ['0', '100', '100'], 142.41
195543864: building.apartments: 7980431#1 : ['0', '100', '100'], 132.79
195543865: building.apartments: 7980431#1 : ['0', '100', '100'], 122.99
195543866: building.apartments: 7980431#1 : ['0', '100', '100'], 113.28
195543867: building.apartments: 7980431#1 : ['0', '100', '100'], 103.35
195760513: amenity.school: 195130786 : ['255', '150', '0'], 17.03
195760513#1: building.school: 195130786 : ['255', '100', '0'], 17.03
197134300: building.apartments: 150551277#2 : ['0', '100', '100'], 31.55
197480992: building.apartments: 150554198#0 : ['0', '100', '100'], 140.91
197480994: building.apartments: 150554198#0 : ['0', '100', '100'], 125.53
197481004: building.apartments: 475679571#2 : ['0', '100', '100'], 4.96
197481021: building.apartments: 227062813#3 : ['0', '100', '100'], 27.97
197481024: building.apartments: 227062813#3 : ['0', '100', '100'], 18.23
197482311: building.apartments: 360248187#0 : ['0', '100', '100'], 51.83
197482312: building.apartments: 360248187#0 : ['0', '100', '100'], 35.86
197482313: building.apartments: 150554198#4 : ['0', '100', '100'], 33.18
197482314: building.apartments: 360248187#0 : ['0', '100', '100'], 12.33
197482315: building.apartments: 150554198#4 : ['0', '100', '100'], 4.04
203461108: building.residential: 24620501#0 : ['30', '60', '150'], 76.71
205751240: building.apartments: 27429642#1 : ['0', '100', '100'], 8.25
208827477: building.apartments: 24532300 : ['0', '100', '100'], 40.19
209213193: building.residential: 27287268 : ['30', '60', '150'], 73.69
209213195: building.residential: 27287268 : ['30', '60', '150'], 92.24
209213197: building.residential: -27287268 : ['30', '60', '150'], 16.78
209213200: building.residential: -27287268 : ['30', '60', '150'], 66.27
209213201: building.residential: 27287268 : ['30', '60', '150'], 41.06
209213205: building.residential: -27287268 : ['30', '60', '150'], 57.88
209213206: building.residential: 27287268 : ['30', '60', '150'], 49.38
209213207: building.residential: -27287268 : ['30', '60', '150'], 43.23
209213208: building.residential: 27287268 : ['30', '60', '150'], 64.77
209213209: building.residential: -27287268 : ['30', '60', '150'], 34.82
209973865: building.apartments: -598189702#1 : ['0', '100', '100'], 27.29
209973871: building.apartments: 25832158 : ['0', '100', '100'], 84.07
210712245: building.apartments: -150851814#1 : ['0', '100', '100'], 11.13
210712246: building.apartments: -150851814#1 : ['0', '100', '100'], 16.66
210712247: building.apartments: 26340368 : ['0', '100', '100'], 9.48
217925882: building.residential: -48425478#0 : ['30', '60', '150'], 15.24
217981400: building.residential: -749289063#2 : ['30', '60', '150'], 95.91
218214361: building.apartments: 42761340#3 : ['0', '100', '100'], 10.96
218220878: building.apartments: 295555117#1 : ['0', '100', '100'], 40.4
218220879: building.apartments: -26394012#2 : ['0', '100', '100'], 14.23
218220880: building.apartments: -26394012#2 : ['0', '100', '100'], 28.79
222427809: building.residential: -446545499 : ['30', '60', '150'], 61.76
222427811: building.residential: -446545499 : ['30', '60', '150'], 53.18
222427812: building.residential: -446545499 : ['30', '60', '150'], 44.57
222438224: building.apartments: -22331103#0 : ['0', '100', '100'], 25.42
222438229: building.apartments: -22331103#0 : ['0', '100', '100'], 44.14
